平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color
33.042857142857144,1.0,0.3,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"rgb(35,203,220)"
32.15714285714285,1.5,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.5,0.0,0.0,"rgb(61,207,194)"
32.371428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,"rgb(35,205,220)"
32.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(30,202,225)"
33.98571428571428,2.5,5.6000000000000005,0.0,0.0,13.0,6.5,4.0,2.0,1.0,0.5,0.5,0.0,0.1,0.0,0.0,"rgb(38,192,217)"
31.16666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4.0,0.10000000000000002,"rgb(63,210,192)"
33.0,3.0,2.0,0.0,0.0,13.0,11.5,15.0,2.0,2.0,1.0,0.4,0.0,2.5,0.0,0.0,"rgb(63,188,192)"
33.78333333333333,0.5,11.7,2.5,7.5,6.0,4.5,3.5,12.0,11.5,13.0,8.5,3.0,1.5,4.0,0.0,"rgb(55,188,200)"
33.25714285714285,23.5,18.7,0.0,0.0,16.0,20.0,28.5,21.5,17.5,4.0,0.5,0.0,8.6,2.0,0.0,"rgb(64,175,191)"
33.01428571428572,2.5,0.4,0.0,0.5,6.0,2.5,1.5,2.0,0.0,2.0,0.5,0.0,0.4,2.5,0.0,"rgb(58,201,197)"
33.32857142857143,0.5,0.0,0.0,0.0,11.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(57,200,198)"
32.52857142857143,16.0,1.1,2.5,13.0,17.0,16.5,10.5,0.5,1.0,1.5,1.0,0.0,9.8,5.5,4.5,"rgb(67,189,188)"
33.19,13.0,11.6,0.0,0.0,7.0,8.0,20.0,11.0,11.5,4.0,0.5,0.0,11.1,0.5,0.0,"rgb(61,184,194)"
32.3375,5.0,2.6,0.0,0.0,0.0,8.5,3.0,3.0,2.0,0.0,0.0,0.0,0.0,4.5,0.0,"rgb(59,203,196)"
32.4,18.0,16.400000000000002,19.5,0.0,10.0,24.0,23.0,13.5,6.0,17.5,21.5,0.0,18.8,35.5,0.0,"rgb(64,180,191)"
32.0,39.5,98.8,49.0,15.5,36.0,31.5,44.0,113.0,161.5,95.0,88.4,0.0,11.6,7.5,3.3,"rgb(70,156,185)"
32.457142857142856,6.5,1.3,5.0,51.5,5.5,8.0,11.0,7.5,1.0,18.0,6.0,76.0,1.4,22.0,13.2,"rgb(43,151,212)"
29.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,"rgb(74,223,181)"
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,"rgb(46,224,209)"
31.271428571428572,11.0,17.3,9.0,0.0,18.5,11.0,5.0,11.5,18.0,12.0,6.5,0.0,10.4,22.5,1.5,"rgb(64,182,191)"
31.12857142857143,6.0,2.6,0.0,0.0,2.0,2.0,2.0,3.0,0.5,4.0,0.5,0.0,3.3999999999999995,3.0,0.0,"rgb(75,220,180)"
