平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
28.420000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(25,221,230)",34,230
29.25555555555556,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,"rgb(23,218,232)",37,232
29.277777777777782,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"rgb(13,206,242)",49,242
28.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(10,201,245)",54,245
27.988888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(17,212,238)",43,238
27.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(17,212,238)",43,238
25.7875,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.5,0.5,"rgb(38,233,217)",22,217
25.922222222222228,5.0,0.0,0.0,0.0,11.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(60,241,195)",14,195
26.066666666666666,4.5,2.8000000000000003,0.0,0.0,3.5,7.5,5.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,"rgb(48,237,207)",18,207
25.93,5.0,0.4,0.0,0.0,15.5,10.0,6.5,0.0,0.0,0.0,0.0,0.0,1.6999999999999995,2.0,0.0,"rgb(53,236,202)",19,202
25.31111111111111,26.0,25.300000000000004,22.0,1.5,25.0,34.5,35.5,11.0,16.5,16.5,10.5,0.5,23.4,19.5,10.900000000000002,"rgb(39,184,216)",71,216
25.511111111111113,0.5,5.4,1.5,0.5,5.5,0.5,0.0,4.0,2.0,3.0,2.3000000000000003,0.0,1.8000000000000005,8.0,0.0,"rgb(43,240,212)",15,212
25.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0,"rgb(42,237,213)",18,213
24.677777777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(43,239,212)",16,212
24.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(40,236,215)",19,215
23.31111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(27,223,228)",32,228
22.950000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"rgb(30,226,225)",29,225
23.211111111111112,12.5,1.4,0.0,0.0,1.5,8.0,13.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.8999999999999995,"rgb(17,198,238)",57,238
23.055555555555557,4.0,0.9000000000000001,0.0,0.0,6.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,"rgb(4,193,251)",62,251
23.266666666666666,20.0,11.5,18.7,1.5,32.5,20.0,11.5,22.0,26.5,26.5,38.1,6.5,7.700000000000001,5.0,1.0,"rgb(30,179,225)",76,225
23.37,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4,"rgb(39,233,216)",22,216
23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.29999999999999993,"rgb(36,232,219)",23,219
23.422222222222228,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,26.6,15.0,0.0,"rgb(36,229,219)",26,219
24.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,"rgb(35,230,220)",25,220
24.91111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,4.5,"rgb(35,230,220)",25,220
22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,"rgb(23,214,232)",41,232
23.86,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.299999999999999,0.7000000000000001,0.0,0.0,"rgb(15,210,240)",45,240
25.31111111111111,0.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"rgb(14,209,241)",46,241
25.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,9.5,0.3,"rgb(18,210,237)",45,237
